what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1300799285327
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300799285329
os,sysinfo,,,"macosx",1300799285337
arch,sysinfo,,,"x86_64",1300799285337
ws,sysinfo,,,"cocoa",1300799285337
locale,sysinfo,,,"de_DE",1300799285337
processors,sysinfo,,,"2",1300799285337
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300799285337
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1300799285337
java.specification.name,sysinfo,,,"Java Platform API Specification",1300799285337
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300799285337
java.specification.version,sysinfo,,,"1.6",1300799285337
java.vendor,sysinfo,,,"Apple Inc.",1300799285337
java.version,sysinfo,,,"1.6.0_24",1300799285337
java.vm.info,sysinfo,,,"mixed mode",1300799285337
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1300799285337
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300799285337
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300799285337
java.vm.specification.version,sysinfo,,,"1.0",1300799285337
java.vm.vendor,sysinfo,,,"Apple Inc.",1300799285337
java.vm.version,sysinfo,,,"19.1-b02-334",1300799285337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799308803
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799308823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799316641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799322051
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799323188
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799323405
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1300799331455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799334387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799336273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799359367
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300799360543
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799362061
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1300799374332
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1300799374354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799376159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300799376249
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300799418505
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799419961
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799420128
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799422588
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300799422590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1300799422628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799508828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799576924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799583144
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1300799622804
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1300799624424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799691651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300799730223
